66,3,209.13,256.13,94.33,39.40,0.8456,-1,-1,-1
66,9,492.71,214.46,102.14,56.95,0.3036,-1,-1,-1
66,13,877.03,229.89,82.44,75.01,0.8721,-1,-1,-1
67,3,208.74,255.88,95.46,39.44,0.8364,-1,-1,-1
67,9,495.11,214.00,98.70,57.31,0.2506,-1,-1,-1
67,13,871.13,230.90,88.47,76.06,0.8529,-1,-1,-1
68,3,208.88,255.86,95.78,39.44,0.8315,-1,-1,-1
68,9,493.99,213.08,99.66,58.53,0.3613,-1,-1,-1
68,13,863.33,231.54,95.89,77.16,0.8330,-1,-1,-1
69,3,208.83,256.51,95.62,39.19,0.8274,-1,-1,-1
69,9,493.08,214.29,101.38,57.10,0.4060,-1,-1,-1
69,13,856.09,231.39,103.74,78.34,0.8395,-1,-1,-1
70,3,208.79,256.56,94.86,39.49,0.8303,-1,-1,-1
70,9,494.47,215.07,99.82,56.32,0.3293,-1,-1,-1
70,13,852.29,231.69,107.44,79.83,0.8847,-1,-1,-1
71,3,209.09,256.52,94.15,39.73,0.8354,-1,-1,-1
71,9,495.08,215.56,99.78,55.36,0.3629,-1,-1,-1
71,13,845.24,232.73,114.58,80.09,0.8684,-1,-1,-1
72,3,209.18,256.65,94.23,40.05,0.8339,-1,-1,-1
72,9,493.66,216.78,100.79,54.47,0.5142,-1,-1,-1
72,13,837.48,234.16,122.20,81.03,0.8761,-1,-1,-1
73,3,208.86,256.63,94.20,40.28,0.8414,-1,-1,-1
73,9,497.28,218.67,96.96,53.30,0.3529,-1,-1,-1
73,13,829.57,234.36,129.28,81.97,0.8528,-1,-1,-1
74,3,208.67,257.03,94.70,40.12,0.8409,-1,-1,-1
74,9,494.41,219.13,100.28,53.47,0.3161,-1,-1,-1
74,13,825.29,234.81,134.15,83.45,0.8610,-1,-1,-1
75,3,208.63,257.14,95.30,40.19,0.8350,-1,-1,-1
75,9,493.68,219.77,101.65,52.62,0.3763,-1,-1,-1
75,13,818.98,235.84,140.36,84.05,0.8474,-1,-1,-1
76,3,208.22,256.80,94.93,40.08,0.8395,-1,-1,-1
76,13,810.30,236.29,149.16,86.19,0.8552,-1,-1,-1
77,3,209.05,257.14,94.33,40.23,0.8305,-1,-1,-1
77,13,803.35,235.00,156.50,88.85,0.8780,-1,-1,-1
78,3,208.62,256.90,94.55,40.17,0.8320,-1,-1,-1
78,13,795.65,235.30,163.84,90.95,0.8952,-1,-1,-1
